id,title,price,town,promo_price,url
3226651,Конструктор LEGO City Police Полицейский вертолетный транспорт 60244,3 799,Санкт-Петербург и Ленинградская область,2 469,https://www.detmir.ru/product/index/id/3226651/
3596975,Конструктор LEGO Ninjago Водный робот Ллойда 71750,1 699,Санкт-Петербург и Ленинградская область,1 059,https://www.detmir.ru/product/index/id/3596975/
3244608,Конструктор LEGO Star Wars AT-AT 75288,13 999,Санкт-Петербург и Ленинградская область,8 299,https://www.detmir.ru/product/index/id/3244608/
3405649,Конструктор LEGO Technic Квадроцикл 42124,12 499,Санкт-Петербург и Ленинградская область,7 569,https://www.detmir.ru/product/index/id/3405649/
3405548,Конструктор LEGO Friends Органическое кафе Хартлейк-Сити 41444,2 599,Санкт-Петербург и Ленинградская область,1 619,https://www.detmir.ru/product/index/id/3405548/
3596977,Конструктор LEGO Ninjago Атака огненного дракона 71753,4 499,Санкт-Петербург и Ленинградская область,2 839,https://www.detmir.ru/product/index/id/3596977/
3596761,Конструктор LEGO DUPLO Town Самолет и аэропорт 10961,2 499,Санкт-Петербург и Ленинградская область,1 519,https://www.detmir.ru/product/index/id/3596761/
3244532,Конструктор LEGO City Исследовательская подводная лодка 60264,2 499,Санкт-Петербург и Ленинградская область,1 529,https://www.detmir.ru/product/index/id/3244532/
3244603,Конструктор LEGO Star Wars Клоны-пехотинцы 501легиона 75280,2 799,Санкт-Петербург и Ленинградская область,1 819,https://www.detmir.ru/product/index/id/3244603/
3188097,Конструктор LEGO Technic Экстремальный внедорожник 42099,19 999,Санкт-Петербург и Ленинградская область,11 159,https://www.detmir.ru/product/index/id/3188097/
3226681,Конструктор LEGO City Great Vehicles Транспортировщик скоростных катеров 60254,2 499,Санкт-Петербург и Ленинградская область,1 599,https://www.detmir.ru/product/index/id/3226681/
3405600,Конструктор LEGO DC Super Heroes Человек-Паук и Призрачный Гонщик против Карнажа 76173,1 799,Санкт-Петербург и Ленинградская область,,https://www.detmir.ru/product/index/id/3405600/
3597018,Конструктор LEGO Ninjago Водный дракон 71754,6 499,Санкт-Петербург и Ленинградская область,4 089,https://www.detmir.ru/product/index/id/3597018/
3142077,Конструктор LEGO City Fire Пожар в бургер-кафе 60214,2 499,Санкт-Петербург и Ленинградская область,1 619,https://www.detmir.ru/product/index/id/3142077/
3594631,Конструктор LEGO Super Heroes Веном 76187,5 999,Санкт-Петербург и Ленинградская область,5 299,https://www.detmir.ru/product/index/id/3594631/
3226750,Конструктор LEGO Speed Champions Lamborghini Urus ST-X Lamborghini Huracan Super Trofeo EVO 76899,5 499,Санкт-Петербург и Ленинградская область,3 879,https://www.detmir.ru/product/index/id/3226750/
3405593,Конструктор LEGO City Great Vehicles Транспортировка карта 60288,1 499,Санкт-Петербург и Ленинградская область,1 069,https://www.detmir.ru/product/index/id/3405593/
3226630,Конструктор LEGO Technic Шоу трюков на грузовиках и мотоциклах 42106,4 699,Санкт-Петербург и Ленинградская область,2 959,https://www.detmir.ru/product/index/id/3226630/
